"trial","ref_position","var_area","response","correct","rt"
1,"R",10.8258547687437,"L",TRUE,17.2099997997284
2,"R",8.88689208985306,"L",FALSE,20.7779998779297
3,"L",13.6746971437242,"R",TRUE,10.3860001564026
4,"R",13.3290268678684,"L",TRUE,3.08800005912781
5,"L",10.6901065260172,"R",TRUE,2.16899991035461
6,"R",10.6879073635209,"L",TRUE,4.19899988174438
7,"R",11.5922186907846,"L",TRUE,1.89599990844727
8,"L",14.3823011971544,"R",TRUE,1.27799987792969
9,"R",10.3949905536138,"L",TRUE,2.70000004768372
10,"L",14.7813039224129,"R",TRUE,1.3989999294281
11,"R",13.2110137466807,"L",TRUE,2.29999995231628
12,"L",12.6254945588298,"R",TRUE,1.49399995803833
13,"R",14.692892085528,"L",TRUE,1.09600019454956
14,"L",10.459602804156,"R",TRUE,1.00300002098083
15,"R",14.7983717147727,"L",TRUE,0.894000053405762
16,"L",9.67279116250575,"R",TRUE,1.98099994659424
17,"R",8.3513659380842,"R",TRUE,1.39900016784668
18,"R",8.19116528844461,"R",TRUE,1.78900003433228
19,"L",11.6474661070388,"R",TRUE,1.09800004959106
20,"R",8.2655827247072,"R",TRUE,1.29500007629395
21,"R",14.9167966966052,"L",TRUE,1.70099997520447
22,"R",11.3393861940131,"L",TRUE,2.5939998626709
23,"L",11.8198542161845,"R",TRUE,1.10999989509583
24,"L",14.3690216478426,"R",TRUE,1.21300005912781
25,"R",12.6884726188146,"L",TRUE,0.900000095367432
26,"L",11.7413576573599,"R",TRUE,1.80800008773804
